Cause,Deaths,Year,Sex
Polycythaemia vera (D45),60.0,2015,Male
Myelodysplastic syndromes (D46),674.0,2015,Male
"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue (D47)",291.0,2015,Male
Neoplasm of uncertain or unknown behaviour of other and unspecified sites (D48),60.0,2015,Male
Nutritional anaemias (D50-D53),105.0,2015,Male
Iron deficiency anaemia (D50),89.0,2015,Male
Vitamin B12 deficiency anaemia (D51),14.0,2015,Male
Folate deficiency anaemia (D52),1.0,2015,Male
Other nutritional anaemias (D53),2.0,2015,Male
Haemolytic anaemias (D55-D59),72.0,2015,Male
Anaemia due to enzyme disorders (D55),1.0,2015,Male
Thalassaemia (D56),21.0,2015,Male
Sickle-cell disorders (D57),2.0,2015,Male
Other hereditary haemolytic anaemias (D58),30.0,2015,Male
Acquired haemolytic anaemia (D59),18.0,2015,Male
Aplastic and other anaemias (D60-D64),1068.0,2015,Male
Acquired pure red cell aplasia [erythroblastopenia] (D60),3.0,2015,Male
Other aplastic anaemias (D61),174.0,2015,Male
Acute posthaemorrhagic anaemia (D62),1.0,2015,Male
Other anaemias (D64),895.0,2015,Male
"Coagulation defects, purpura and other haemorrhagic conditions (D65-D69)",364.0,2015,Male
Disseminated intravascular coagulation [defibrination syndrome] (D65),64.0,2015,Male
Hereditary factor VIII deficiency (D66),10.0,2015,Male
Hereditary factor IX deficiency (D67),1.0,2015,Male
Other coagulation defects (D68),124.0,2015,Male
Purpura and other haemorrhagic conditions (D69),167.0,2015,Male
Other diseases of blood and blood-forming organs (D70-D77),311.0,2015,Male
Agranulocytosis (D70),225.0,2015,Male
Functional disorders of polymorphonuclear neutrophils (D71),2.0,2015,Male
Other disorders of white blood cells (D72),13.0,2015,Male
Diseases of spleen (D73),26.0,2015,Male
Methaemoglobinaemia (D74),0.0,2015,Male
Other diseases of blood and blood-forming organs (D75),19.0,2015,Male
Other specified diseases with participation of lymphoreticular tissue and reticulohistiocytic tissue (D76),29.0,2015,Male
Certain disorders involving the immune mechanism (D80-D89),153.0,2015,Male
Immunodeficiency with predominantly antibody defects (D80),10.0,2015,Male
Combined immunodeficiencies (D81),0.0,2015,Male
Immunodeficiency associated with other major defects (D82),5.0,2015,Male
Common variable immunodeficiency (D83),2.0,2015,Male
Other immunodeficiencies (D84),52.0,2015,Male
Sarcoidosis (D86),45.0,2015,Male
"Other disorders involving the immune mechanism, not elsewhere classified (D89)",40.0,2015,Male
Disorders of thyroid gland (E00-E07),319.0,2015,Male
Congenital iodine-deficiency syndrome (E00),1.0,2015,Male
Iodine-deficiency-related thyroid disorders and allied conditions (E01),0.0,2015,Male
Subclinical iodine-deficiency hypothyroidism (E02),0.0,2015,Male
Other hypothyroidism (E03),217.0,2015,Male
Other nontoxic goitre (E04),18.0,2015,Male
Thyrotoxicosis [hyperthyroidism] (E05),70.0,2015,Male
Thyroiditis (E06),10.0,2015,Male
Other disorders of thyroid (E07),8.0,2015,Male
Diabetes mellitus (E10-E14),9016.0,2015,Male
Insulin-dependent diabetes mellitus (E10),443.0,2015,Male
Non-insulin-dependent diabetes mellitus (E11),4906.0,2015,Male
Malnutrition-related diabetes mellitus (E12),1.0,2015,Male
Other specified diabetes mellitus (E13),0.0,2015,Male
Unspecified diabetes mellitus (E14),3796.0,2015,Male
Other disorders of glucose regulation and pancreatic internal secretion (E15-E16),60.0,2015,Male
Nondiabetic hypoglycaemic coma (E15),2.0,2015,Male
Other disorders of pancreatic internal secretion (E16),58.0,2015,Male
Disorders of other endocrine glands (E20-E35),131.0,2015,Male
Hypoparathyroidism (E20),3.0,2015,Male
Hyperparathyroidism and other disorders of parathyroid gland (E21),31.0,2015,Male
Hyperfunction of pituitary gland (E22),14.0,2015,Male
Hypofunction and other disorders of pituitary gland (E23),31.0,2015,Male
Cushing syndrome (E24),4.0,2015,Male
Adrenogenital disorders (E25),0.0,2015,Male
Hyperaldosteronism (E26),1.0,2015,Male
Other disorders of adrenal gland (E27),36.0,2015,Male
Ovarian dysfunction (E28),0.0,2015,Male
Testicular dysfunction (E29),6.0,2015,Male
"Disorders of puberty, not elsewhere classified (E30)",0.0,2015,Male
Polyglandular dysfunction (E31),2.0,2015,Male
Diseases of thymus (E32),0.0,2015,Male
Other endocrine disorders (E34),4.0,2015,Male
Malnutrition (E40-E46),367.0,2015,Male
Kwashiorkor (E40),0.0,2015,Male
Nutritional marasmus (E41),4.0,2015,Male
Marasmic kwashiorkor (E42),0.0,2015,Male
Unspecified severe protein-energy malnutrition (E43),46.0,2015,Male
Protein-energy malnutrition of moderate and mild degree (E44),0.0,2015,Male
Retarded development following protein-energy malnutrition (E45),0.0,2015,Male
Unspecified protein-energy malnutrition (E46),318.0,2015,Male
Other nutritional deficiencies (E50-E64),75.0,2015,Male
Vitamin A deficiency (E50),0.0,2015,Male
Thiamine deficiency (E51),17.0,2015,Male
Niacin deficiency [pellagra] (E52),1.0,2015,Male
Deficiency of other B group vitamins (E53),19.0,2015,Male
Ascorbic acid deficiency (E54),0.0,2015,Male
Vitamin D deficiency (E55),8.0,2015,Male
Other vitamin deficiencies (E56),5.0,2015,Male
